group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
0-14-0-20-30-16,monophyletic,internal_12,4,,,,0,0,
0-14-0-20-34-12,monophyletic,internal_20,2,,,,0,0,
0-14-0-80-44-23,monophyletic,internal_14,2,,,,0,0,
1-14-0-10-31-34,monophyletic,internal_19,6,,,,0,0,
1-14-0-10-32-24,monophyletic,internal_27,3,,,,0,0,
1-14-0-10-34-76,monophyletic,internal_24,3,,,,0,0,
1-14-0-10-45-29,monophyletic,internal_18,5,,,,0,0,
18H4-34,monophyletic,internal_21,2,,,,0,0,
20-14-0-80-47-9,monophyletic,internal_31,2,,,,0,0,
21-14-0-10-32-9,monophyletic,internal_32,8,,,,0,0,
40CM-2-53-6,monophyletic,internal_25,22,,,,0,0,
6H3-1,monophyletic,internal_20,5,,,,0,0,
A-MIC-10,monophyletic,internal_17,5,,,,0,0,
A05DMB-2,monophyletic,internal_36,5,,,,0,0,
A07HB70,monophyletic,internal_26,7,,,,0,0,
AAA261-N23,monophyletic,internal_16,2,,,,0,0,
AD8-1,monophyletic,internal_40,6,,,,0,0,
AG1,monophyletic,internal_21,6,,,,0,0,
AMARA-1,monophyletic,internal_21,2,,,,0,0,
ANME-1-THS,monophyletic,internal_19,4,,,,0,0,
ARK-14,monophyletic,internal_23,3,,,,0,0,
ARK-15,monophyletic,internal_26,7,,,,0,0,
ARS1178,monophyletic,internal_14,2,,,,0,0,
ARS1285,monophyletic,internal_19,49,,,,0,0,
ARS1301,monophyletic,internal_34,4,,,,0,0,
ARS1309,monophyletic,internal_26,2,,,,0,0,
ARS1403,monophyletic,internal_16,2,,,,0,0,
ARS21,monophyletic,internal_13,5,,,,0,0,
ASMP01,monophyletic,internal_29,42,,,,0,0,
AUK039,monophyletic,internal_21,3,,,,0,0,
Acd1,monophyletic,internal_21,4,,,,0,0,
Acidianus,monophyletic,internal_24,8,,,,0,0,
Acidifodinimicrobium,monophyletic,internal_13,5,,,,0,0,
Acidilobus,monophyletic,internal_25,12,,,,0,0,
Acidiplasma,monophyletic,internal_27,3,,,,0,0,
Aciduliprofundum,monophyletic,internal_28,5,,,,0,0,
Aeropyrum,monophyletic,internal_24,6,,,,0,0,
Afararchaeum,monophyletic,internal_13,2,,,,0,0,
Alkanophaga,monophyletic,internal_16,2,,,,0,0,
Altiarchaeum,monophyletic,internal_6,4,,,,0,0,
Anstonella,monophyletic,internal_16,2,,,,0,0,
Aramenus,monophyletic,internal_24,4,,,,0,0,
Archaeoglobus,monophyletic,internal_22,11,,,,0,0,
Archaeoglobus_A,monophyletic,internal_18,6,,,,0,0,
Archaeoglobus_B,monophyletic,internal_18,8,,,,0,0,
Archaeoglobus_C,monophyletic,internal_20,3,,,,0,0,
Argoarchaeum,monophyletic,internal_19,4,,,,0,0,
Asbonarchaeum,monophyletic,internal_13,2,,,,0,0,
B-DKE,monophyletic,internal_30,5,,,,0,0,
B1-Br10-U2g19,monophyletic,internal_14,2,,,,0,0,
B1-Br10-U2g21,monophyletic,internal_15,5,,,,0,0,
B1-G15,monophyletic,internal_29,2,,,,0,0,
B14-G2,monophyletic,internal_10,2,,,,0,0,
B15-G16,monophyletic,internal_16,2,,,,0,0,
B15-G2,monophyletic,internal_16,2,,,,0,0,
B17-G17,monophyletic,internal_20,2,,,,0,0,
B18-G2,monophyletic,internal_17,5,,,,0,0,
B1Sed10-29,monophyletic,internal_10,4,,,,0,0,
B1T1B5,monophyletic,internal_26,2,,,,0,0,
B20-G17,monophyletic,internal_19,2,,,,0,0,
B23,monophyletic,internal_19,6,,,,0,0,
