group,status,lca_node,member_count,extra_nodes,missing_nodes,subgroups,extra_count,missing_count,polytomy_details
0-14-0-20-45-22,monophyletic,internal_26,3,,,,0,0,
0-14-0-80-60-11,monophyletic,internal_30,18,,,,0,0,
0-14-3-00-41-53,monophyletic,internal_32,2,,,,0,0,
0-14-3-00-62-12,monophyletic,internal_33,9,,,,0,0,
01-FULL-36-15b,monophyletic,internal_40,2,,,,0,0,
01-FULL-43-11b,monophyletic,internal_35,2,,,,0,0,
01-FULL-43-15b,monophyletic,internal_31,2,,,,0,0,
01-FULL-44-24b,monophyletic,internal_35,2,,,,0,0,
01-FULL-45-10b,monophyletic,internal_27,6,,,,0,0,
01-FULL-45-15b,monophyletic,internal_59,2,,,,0,0,
01-FULL-49-22b,monophyletic,internal_34,5,,,,0,0,
01-FULL-54-110,monophyletic,internal_29,2,,,,0,0,
02-FULL-45-11b,monophyletic,internal_38,3,,,,0,0,
02-FULL-45-17b,monophyletic,internal_36,2,,,,0,0,
1-14-0-10-37-14,monophyletic,internal_37,3,,,,0,0,
1-14-0-10-42-12,monophyletic,internal_53,2,,,,0,0,
1-14-0-10-42-22,monophyletic,internal_53,3,,,,0,0,
1-14-0-10-43-11,monophyletic,internal_35,2,,,,0,0,
1-14-0-10-43-13,monophyletic,internal_27,2,,,,0,0,
1-14-0-10-46-36,monophyletic,internal_38,3,,,,0,0,
1-14-0-10-48-11,monophyletic,internal_34,2,,,,0,0,
1-14-0-20-39-34,monophyletic,internal_47,3,,,,0,0,
1-14-0-20-39-49,monophyletic,internal_30,3,,,,0,0,
1-14-0-65-60-17,monophyletic,internal_41,4,,,,0,0,
1-14-2-50-31-20,monophyletic,internal_41,7,,,,0,0,
1-19,monophyletic,internal_55,2,,,,0,0,
1109,monophyletic,internal_26,2,,,,0,0,
1162T-S-0a-05,monophyletic,internal_48,2,,,,0,0,
12-FULL-44-12b,monophyletic,internal_55,6,,,,0,0,
12-FULL-67-14b,monophyletic,internal_20,37,,,,0,0,
12844,monophyletic,internal_43,5,,,,0,0,
13-1-40CM-64-14,monophyletic,internal_19,3,,,,0,0,
13-1-40CM-70-15,monophyletic,internal_26,4,,,,0,0,
13-2-20CM-66-19,monophyletic,internal_40,174,,,,0,0,
13-2-20CM-68-14,monophyletic,internal_36,14,,,,0,0,
14-2,monophyletic,internal_47,12,,,,0,0,
16-39-46,monophyletic,internal_25,3,,,,0,0,
17J80-11,monophyletic,internal_39,2,,,,0,0,
188UL27-1,monophyletic,internal_58,2,,,,0,0,
1XD8-76,monophyletic,internal_51,13,,,,0,0,
2-01-FULL-33-17,monophyletic,internal_50,10,,,,0,0,
2-01-FULL-38-21,monophyletic,internal_36,4,,,,0,0,
2-01-FULL-39-10-A,monophyletic,internal_36,16,,,,0,0,
2-01-FULL-39-19,monophyletic,internal_31,2,,,,0,0,
2-01-FULL-39-21,monophyletic,internal_32,2,,,,0,0,
2-01-FULL-39-24,monophyletic,internal_29,4,,,,0,0,
2-01-FULL-39-28,monophyletic,internal_40,7,,,,0,0,
2-01-FULL-39-33,monophyletic,internal_36,4,,,,0,0,
2-01-FULL-40-13,monophyletic,internal_34,8,,,,0,0,
2-01-FULL-40-42,monophyletic,internal_34,3,,,,0,0,
2-01-FULL-41-11,monophyletic,internal_27,2,,,,0,0,
2-01-FULL-41-14,monophyletic,internal_27,2,,,,0,0,
2-01-FULL-41-21,monophyletic,internal_40,6,,,,0,0,
2-01-FULL-41-26,monophyletic,internal_39,6,,,,0,0,
2-01-FULL-42-13,monophyletic,internal_27,2,,,,0,0,
2-01-FULL-42-20,monophyletic,internal_49,2,,,,0,0,
2-01-FULL-43-22,monophyletic,internal_38,4,,,,0,0,
2-01-FULL-44-17,monophyletic,internal_40,7,,,,0,0,
2-01-FULL-44-22,monophyletic,internal_39,2,,,,0,0,
2-01-FULL-45-10,monophyletic,internal_28,6,,,,0,0,
2-01-FULL-45-33,monophyletic,internal_38,4,,,,0,0,
2-01-FULL-46-13,monophyletic,internal_41,4,,,,0,0,
2-01-FULL-46-14,monophyletic,internal_26,2,,,,0,0,
2-01-FULL-49-10,monophyletic,internal_19,3,,,,0,0,
2-01-FULL-49-17,monophyletic,internal_40,3,,,,0,0,
2-01-FULL-49-22,monophyletic,internal_37,7,,,,0,0,
2-01-FULL-50-23,monophyletic,internal_31,6,,,,0,0,
2-01-FULL-50-25,monophyletic,internal_39,3,,,,0,0,
2-01-FULL-51-10,monophyletic,internal_49,2,,,,0,0,
2-01-FULL-51-21,monophyletic,internal_52,2,,,,0,0,
2-01-FULL-53-15,monophyletic,internal_22,2,,,,0,0,
2-01-FULL-60-11,monophyletic,internal_28,3,,,,0,0,
2-01-FULL-63-20,monophyletic,internal_44,2,,,,0,0,
2-01-FULL-66-17,monophyletic,internal_26,3,,,,0,0,
2-02-FULL-35-15,monophyletic,internal_19,3,,,,0,0,
2-02-FULL-38-14,monophyletic,internal_30,2,,,,0,0,
2-02-FULL-38-15,monophyletic,internal_25,2,,,,0,0,
2-02-FULL-39-13,monophyletic,internal_27,2,,,,0,0,
2-02-FULL-39-14,monophyletic,internal_33,2,,,,0,0,
2-02-FULL-39-32,monophyletic,internal_29,2,,,,0,0,
2-02-FULL-40-12,monophyletic,internal_37,2,,,,0,0,
2-02-FULL-40-13,monophyletic,internal_32,2,,,,0,0,
2-02-FULL-42-43,monophyletic,internal_47,8,,,,0,0,
2-02-FULL-43-11,monophyletic,internal_59,5,,,,0,0,
2-02-FULL-43-11-A,monophyletic,internal_32,4,,,,0,0,
2-02-FULL-43-13,monophyletic,internal_45,3,,,,0,0,
2-02-FULL-44-35,monophyletic,internal_59,4,,,,0,0,
2-02-FULL-45-10,monophyletic,internal_44,4,,,,0,0,
2-02-FULL-45-21,monophyletic,internal_31,2,,,,0,0,
2-02-FULL-46-13,monophyletic,internal_59,6,,,,0,0,
2-02-FULL-47-50,monophyletic,internal_38,3,,,,0,0,
2-02-FULL-48-11,monophyletic,internal_35,2,,,,0,0,
2-02-FULL-48-12,monophyletic,internal_34,2,,,,0,0,
2-02-FULL-48-14,monophyletic,internal_29,8,,,,0,0,
2-02-FULL-49-11,monophyletic,internal_26,3,,,,0,0,
2-02-FULL-49-16,monophyletic,internal_29,2,,,,0,0,
2-02-FULL-50-9b,monophyletic,internal_37,5,,,,0,0,
2-02-FULL-51-10,monophyletic,internal_30,2,,,,0,0,
2-02-FULL-52-10,monophyletic,internal_35,5,,,,0,0,
2-02-FULL-52-16,monophyletic,internal_31,3,,,,0,0,
2-02-FULL-52-23,monophyletic,internal_41,4,,,,0,0,
2-02-FULL-53-10,monophyletic,internal_37,3,,,,0,0,
2-02-FULL-55-14,monophyletic,internal_37,6,,,,0,0,
2-02-FULL-56-15,monophyletic,internal_34,2,,,,0,0,
2-02-FULL-61-13,monophyletic,internal_37,4,,,,0,0,
2-02-FULL-62-14,monophyletic,internal_28,8,,,,0,0,
2-02-FULL-62-17,monophyletic,internal_37,6,,,,0,0,
2-02-FULL-66-14,monophyletic,internal_38,12,,,,0,0,
2-02-FULL-66-22,monophyletic,internal_24,21,,,,0,0,
2-02-FULL-67-57,monophyletic,internal_22,3,,,,0,0,
2-12-FULL-35-11,monophyletic,internal_54,4,,,,0,0,
2-12-FULL-35-15,monophyletic,internal_52,68,,,,0,0,
2-12-FULL-35-23,monophyletic,internal_38,2,,,,0,0,
2-12-FULL-36-22,monophyletic,internal_17,2,,,,0,0,
2-12-FULL-37-14,monophyletic,internal_40,2,,,,0,0,
2-12-FULL-39-13,monophyletic,internal_28,2,,,,0,0,
2-12-FULL-40-12,monophyletic,internal_38,2,,,,0,0,
2-12-FULL-41-12,monophyletic,internal_33,2,,,,0,0,
2-12-FULL-41-16,monophyletic,internal_46,7,,,,0,0,
2-12-FULL-41-17,monophyletic,internal_29,2,,,,0,0,
2-12-FULL-42-15,monophyletic,internal_45,3,,,,0,0,
2-12-FULL-43-11,monophyletic,internal_50,3,,,,0,0,
2-12-FULL-43-12,monophyletic,internal_45,3,,,,0,0,
2-12-FULL-44-25,monophyletic,internal_31,3,,,,0,0,
2-12-FULL-45-10,monophyletic,internal_35,3,,,,0,0,
2-12-FULL-52-36,monophyletic,internal_24,4,,,,0,0,
2-12-FULL-53-21,monophyletic,internal_25,10,,,,0,0,
2-12-FULL-55-11,monophyletic,internal_27,7,,,,0,0,
2-12-FULL-57-22,monophyletic,internal_22,3,,,,0,0,
2-12-FULL-60-19,monophyletic,internal_25,2,,,,0,0,
2-12-FULL-60-25,monophyletic,internal_37,11,,,,0,0,
2-12-FULL-64-23,monophyletic,internal_33,23,,,,0,0,
2-12-FULL-65-11,monophyletic,internal_28,3,,,,0,0,
2-12-FULL-67-15,monophyletic,internal_33,5,,,,0,0,
2-12-FULL-69-37,monophyletic,internal_27,4,,,,0,0,
20-14-all-45-10,monophyletic,internal_44,5,,,,0,0,
20-14-all-54-14,monophyletic,internal_46,2,,,,0,0,
2011-GWA2-47-8b,monophyletic,internal_48,2,,,,0,0,
2013-40CM-41-45,monophyletic,internal_48,2,,,,0,0,
20CM-2-55-15,monophyletic,internal_21,9,,,,0,0,
20CM-2-65-7,monophyletic,internal_27,50,,,,0,0,
20CM-2-70-11,monophyletic,internal_31,4,,,,0,0,
20CM-4-69-16,monophyletic,internal_32,6,,,,0,0,
21-14-0-10-35-9,monophyletic,internal_19,2,,,,0,0,
21-14-0-10-47-8,monophyletic,internal_34,8,,,,0,0,
21-14-0-10-47-8-A,monophyletic,internal_33,2,,,,0,0,
21-14-all-36-13,monophyletic,internal_50,3,,,,0,0,
21-14-all-37-9,monophyletic,internal_50,2,,,,0,0,
21-14-all-40-8,monophyletic,internal_37,2,,,,0,0,
21-14-all-47-17,monophyletic,internal_39,2,,,,0,0,
3-1-20CM-2-70-9,monophyletic,internal_18,22,,,,0,0,
3-1-20CM-3-53-8,monophyletic,internal_21,2,,,,0,0,
3-1-20CM-4-69-9,monophyletic,internal_31,53,,,,0,0,
3107,monophyletic,internal_52,2,,,,0,0,
32-111,monophyletic,internal_21,6,,,,0,0,
34-65-8,monophyletic,internal_70,5,,,,0,0,
38-11,monophyletic,internal_28,6,,,,0,0,
39-52-133,monophyletic,internal_38,11,,,,0,0,
40-80,monophyletic,internal_47,4,,,,0,0,
40CM-2-70-7,monophyletic,internal_28,8,,,,0,0,
40CM-3-55-5,monophyletic,internal_36,3,,,,0,0,
40CM-3-62-11,monophyletic,internal_31,3,,,,0,0,
40CM-4-65-16,monophyletic,internal_25,40,,,,0,0,
40CM-4-68-19,monophyletic,internal_27,19,,,,0,0,
40CM-4-69-5,monophyletic,internal_31,4,,,,0,0,
40CM-68-15,monophyletic,internal_28,2,,,,0,0,
41-12-T18,monophyletic,internal_31,3,,,,0,0,
41-269,monophyletic,internal_27,2,,,,0,0,
42-11,monophyletic,internal_14,2,,,,0,0,
42-54-T18,monophyletic,internal_38,5,,,,0,0,
4484-100,monophyletic,internal_21,2,,,,0,0,
4484-107,monophyletic,internal_20,3,,,,0,0,
4484-190-2,monophyletic,internal_32,6,,,,0,0,
4484-213,monophyletic,internal_17,3,,,,0,0,
4484-230,monophyletic,internal_24,2,,,,0,0,
4484-232,monophyletic,internal_21,2,,,,0,0,
4484-276,monophyletic,internal_60,3,,,,0,0,
4484-49,monophyletic,internal_23,2,,,,0,0,
4484-87,monophyletic,internal_31,2,,,,0,0,
4484-93,monophyletic,internal_19,2,,,,0,0,
4572-104,monophyletic,internal_21,13,,,,0,0,
4572-123,monophyletic,internal_31,5,,,,0,0,
4572-128,monophyletic,internal_57,2,,,,0,0,
4572-13,monophyletic,internal_32,15,,,,0,0,
46-80,monophyletic,internal_33,5,,,,0,0,
50-218,monophyletic,internal_29,2,,,,0,0,
54-19,monophyletic,internal_22,9,,,,0,0,
55-13,monophyletic,internal_34,7,,,,0,0,
58-81,monophyletic,internal_23,5,,,,0,0,
62-47,monophyletic,internal_46,15,,,,0,0,
630D-37,monophyletic,internal_48,5,,,,0,0,
64-32,monophyletic,internal_20,3,,,,0,0,
66-26,monophyletic,internal_38,2,,,,0,0,
66-474,monophyletic,internal_32,57,,,,0,0,
67-14,monophyletic,internal_27,48,,,,0,0,
70-18,monophyletic,internal_44,3,,,,0,0,
73-13,monophyletic,internal_55,6,,,,0,0,
79-D21,monophyletic,internal_19,9,,,,0,0,
9FT-COMBO-42-15,monophyletic,internal_19,4,,,,0,0,
9FT-COMBO-48-23,monophyletic,internal_41,14,,,,0,0,
9FT-COMBO-53-11,monophyletic,internal_21,4,,,,0,0,
A37T11,monophyletic,internal_56,2,,,,0,0,
AA152,monophyletic,internal_16,4,,,,0,0,
AA29,monophyletic,internal_24,3,,,,0,0,
AA32,monophyletic,internal_25,2,,,,0,0,
AAA044-D11,monophyletic,internal_40,37,,,,0,0,
AAA164-E04,monophyletic,internal_23,8,,,,0,0,
AAA240-E13,monophyletic,internal_28,6,,,,0,0,
AAA300-D14,monophyletic,internal_44,5,,,,0,0,
AB-137-C09,monophyletic,internal_26,6,,,,0,0,
AB-629-J13,monophyletic,internal_28,10,,,,0,0,
AC-32,monophyletic,internal_35,48,,,,0,0,
AC-37,monophyletic,internal_30,14,,,,0,0,
AC-38,monophyletic,internal_32,7,,,,0,0,
AC-43,monophyletic,internal_41,4,,,,0,0,
AC-49,monophyletic,internal_32,6,,,,0,0,
AC-50,monophyletic,internal_29,2,,,,0,0,
AC-51,monophyletic,internal_36,38,,,,0,0,
AC-52,monophyletic,internal_27,3,,,,0,0,
AC-56,monophyletic,internal_31,41,,,,0,0,
AC-64,monophyletic,internal_30,2,,,,0,0,
AC-67,monophyletic,internal_24,3,,,,0,0,
AC-69,monophyletic,internal_31,12,,,,0,0,
AC-9,monophyletic,internal_26,8,,,,0,0,
AC2028,monophyletic,internal_55,34,,,,0,0,
AE-B3A,monophyletic,internal_19,3,,,,0,0,
AE-B3B,monophyletic,internal_18,5,,,,0,0,
AEGEAN-183,monophyletic,internal_35,8,,,,0,0,
AER2-1,monophyletic,internal_27,3,,,,0,0,
AG-12,monophyletic,internal_19,8,,,,0,0,
AG-339-G14,monophyletic,internal_34,8,,,,0,0,
AG-363-J23,monophyletic,internal_36,2,,,,0,0,
AG-363-K07,monophyletic,internal_40,8,,,,0,0,
AG-363-N16,monophyletic,internal_44,3,,,,0,0,
AG-363-P08,monophyletic,internal_35,4,,,,0,0,
AG-402-N21,monophyletic,internal_42,3,,,,0,0,
AG-414-E02,monophyletic,internal_28,24,,,,0,0,
AG-426-I14,monophyletic,internal_30,3,,,,0,0,
AG-426-M11,monophyletic,internal_42,3,,,,0,0,
AG-430-B22,monophyletic,internal_27,12,,,,0,0,
AG11,monophyletic,internal_27,55,,,,0,0,
AG12,monophyletic,internal_30,2,,,,0,0,
AG2,monophyletic,internal_27,11,,,,0,0,
AG25,monophyletic,internal_28,7,,,,0,0,
AG29,monophyletic,internal_29,2,,,,0,0,
AG41,monophyletic,internal_32,28,,,,0,0,
AGPOR5,monophyletic,internal_21,3,,,,0,0,
AL-N1,monophyletic,internal_24,2,,,,0,0,
AM-0621,monophyletic,internal_28,4,,,,0,0,
AM-1111,monophyletic,internal_51,4,,,,0,0,
AM-2324,monophyletic,internal_51,5,,,,0,0,
AP-15,monophyletic,internal_32,78,,,,0,0,
AP-16,monophyletic,internal_48,10,,,,0,0,
AQU-03,monophyletic,internal_37,6,,,,0,0,
AR12,monophyletic,internal_32,12,,,,0,0,
AR19,monophyletic,internal_32,3,,,,0,0,
AR31,monophyletic,internal_30,17,,,,0,0,
AR37,monophyletic,internal_25,10,,,,0,0,
AR5,monophyletic,internal_32,14,,,,0,0,
AR8,monophyletic,internal_25,3,,,,0,0,
AR9,monophyletic,internal_23,4,,,,0,0,
ARS1013,monophyletic,internal_35,3,,,,0,0,
ARS98,monophyletic,internal_35,3,,,,0,0,
ASP10-05a,monophyletic,internal_42,7,,,,0,0,
ASV31,monophyletic,internal_55,2,,,,0,0,
ATX-6F1,monophyletic,internal_28,5,,,,0,0,
ATZT02,monophyletic,internal_38,19,,,,0,0,
AU392,monophyletic,internal_62,3,,,,0,0,
AUK083,monophyletic,internal_60,2,,,,0,0,
AUK180,monophyletic,internal_5,2,,,,0,0,
AUK232,monophyletic,internal_21,2,,,,0,0,
AUK324,monophyletic,internal_34,6,,,,0,0,
AV133,monophyletic,internal_36,3,,,,0,0,
AV17,monophyletic,internal_36,5,,,,0,0,
AV2,monophyletic,internal_26,6,,,,0,0,
AV40,monophyletic,internal_37,26,,,,0,0,
AV69,monophyletic,internal_29,26,,,,0,0,
AV80,monophyletic,internal_33,40,,,,0,0,
AVCC01,monophyletic,internal_32,6,,,,0,0,
AWTP1-13,monophyletic,internal_38,42,,,,0,0,
AWTP1-18,monophyletic,internal_41,5,,,,0,0,
AWTP1-30,monophyletic,internal_24,2,,,,0,0,
AWTP1-31,monophyletic,internal_37,3,,,,0,0,
AWTP1-9,monophyletic,internal_44,5,,,,0,0,
AWVT01,monophyletic,internal_48,5,,,,0,0,
AaIE-18,monophyletic,internal_20,3,,,,0,0,
Aadella,monophyletic,internal_25,3,,,,0,0,
Aalborg-AAW-1,monophyletic,internal_31,3,,,,0,0,
Aalborgiella,monophyletic,internal_37,19,,,,0,0,
Abditibacterium,monophyletic,internal_22,14,,,,0,0,
Abiotrophia,monophyletic,internal_44,7,,,,0,0,
Absicoccus,monophyletic,internal_31,5,,,,0,0,
Abyssalbus,monophyletic,internal_52,2,,,,0,0,
Abyssibacter,monophyletic,internal_30,4,,,,0,0,
Abyssibius,monophyletic,internal_41,2,,,,0,0,
Abyssisolibacter,monophyletic,internal_26,2,,,,0,0,
Ac37b,monophyletic,internal_26,2,,,,0,0,
AcAMD-2,monophyletic,internal_34,6,,,,0,0,
AcAMD-5,monophyletic,internal_37,8,,,,0,0,
Acanthopleuribacter,monophyletic,internal_15,2,,,,0,0,
Acaryochloris,monophyletic,internal_21,9,,,,0,0,
Acaudatibacter,monophyletic,internal_41,78,,,,0,0,
Accumulibacter,monophyletic,internal_40,40,,,,0,0,
Acerihabitans,monophyletic,internal_49,10,,,,0,0,
Acetanaerobacterium,monophyletic,internal_40,10,,,,0,0,
Acetatifactor,monophyletic,internal_50,270,,,,0,0,
Acetilactobacillus,monophyletic,internal_46,3,,,,0,0,
Acetivibrio,monophyletic,internal_43,7,,,,0,0,
Acetoanaerobium,monophyletic,internal_29,5,,,,0,0,
Acetobacter,monophyletic,internal_42,57,,,,0,0,
Acetobacterium,monophyletic,internal_24,27,,,,0,0,
Acetobacteroides,monophyletic,internal_55,4,,,,0,0,
Acetohalobium,monophyletic,internal_18,2,,,,0,0,
Acetomicrobium,monophyletic,internal_15,5,,,,0,0,
Aceula,monophyletic,internal_29,4,,,,0,0,
Acherontichlamydia,monophyletic,internal_25,5,,,,0,0,
Acholeplasma,monophyletic,internal_22,14,,,,0,0,
Achromobacter,monophyletic,internal_32,62,,,,0,0,
Acidaminobacter,monophyletic,internal_33,3,,,,0,0,
Acidaminococcus,monophyletic,internal_29,17,,,,0,0,
Acidibrevibacterium,monophyletic,internal_39,6,,,,0,0,
Acidicapsa,monophyletic,internal_30,18,,,,0,0,
Acididesulfobacillus,monophyletic,internal_28,2,,,,0,0,
Acididesulfobacter,monophyletic,internal_14,8,,,,0,0,
Acidiferrimicrobium,monophyletic,internal_32,2,,,,0,0,
Acidiferrobacter,monophyletic,internal_25,15,,,,0,0,
Acidiferrum,monophyletic,internal_29,260,,,,0,0,
Acidiflorens,monophyletic,internal_28,141,,,,0,0,
Acidihalobacter,monophyletic,internal_29,3,,,,0,0,
Acidihalobacter_A,monophyletic,internal_29,5,,,,0,0,
Acidiluteibacter,monophyletic,internal_39,6,,,,0,0,
Acidimangrovimonas,monophyletic,internal_55,4,,,,0,0,
Acidimicrobilacustris,monophyletic,internal_37,34,,,,0,0,
Acidimicrobium,monophyletic,internal_29,2,,,,0,0,
Acidiparvus,monophyletic,internal_11,4,,,,0,0,
Acidiphilium,monophyletic,internal_35,18,,,,0,0,
Acidipropionibacterium,monophyletic,internal_46,5,,,,0,0,
Acidisarcina,monophyletic,internal_31,9,,,,0,0,
Acidisoma,monophyletic,internal_34,9,,,,0,0,
Acidisphaera,monophyletic,internal_34,2,,,,0,0,
Acidithiobacillus,monophyletic,internal_19,23,,,,0,0,
Acidithiobacillus_A,monophyletic,internal_20,2,,,,0,0,
Acidithiobacillus_B,monophyletic,internal_18,3,,,,0,0,
Acidithrix,monophyletic,internal_27,12,,,,0,0,
Acidobacterium,monophyletic,internal_32,5,,,,0,0,
Acidocella,monophyletic,internal_34,63,,,,0,0,
Acidothermus,monophyletic,internal_32,2,,,,0,0,
Acidovorax,monophyletic,internal_49,67,,,,0,0,
Acidovorax_G,monophyletic,internal_47,2,,,,0,0,
Acidulodesulfobacterium,monophyletic,internal_15,7,,,,0,0,
Acidulodesulfobacterium_A,monophyletic,internal_16,19,,,,0,0,
Acinetobacter,monophyletic,internal_43,247,,,,0,0,
Acrocarpospora,monophyletic,internal_41,5,,,,0,0,
Actibacterium_A,monophyletic,internal_58,2,,,,0,0,
Actibacterium_B,monophyletic,internal_60,2,,,,0,0,
Actibacterium_D,monophyletic,internal_60,3,,,,0,0,
Actimicrobium,monophyletic,internal_36,11,,,,0,0,
Actinacidiphila,monophyletic,internal_41,63,,,,0,0,
Actinoallomurus,monophyletic,internal_32,21,,,,0,0,
Actinoalloteichus_A,monophyletic,internal_39,3,,,,0,0,
Actinoalloteichus_B,monophyletic,internal_38,2,,,,0,0,
Actinobacillus,monophyletic,internal_45,9,,,,0,0,
Actinobacillus_B,monophyletic,internal_47,3,,,,0,0,
Actinobacillus_C,monophyletic,internal_46,5,,,,0,0,
Actinobaculum,monophyletic,internal_56,2,,,,0,0,
Actinocatenispora,monophyletic,internal_36,8,,,,0,0,
Actinocorallia,monophyletic,internal_35,10,,,,0,0,
Actinocrinis,monophyletic,internal_36,9,,,,0,0,
Actinokineospora,monophyletic,internal_43,24,,,,0,0,
Actinomadura_C,monophyletic,internal_35,4,,,,0,0,
Actinomadura_E,monophyletic,internal_36,3,,,,0,0,
Actinomarina,monophyletic,internal_19,64,,,,0,0,
Actinomarinicola,monophyletic,internal_31,4,,,,0,0,
Actinomyces,monophyletic,internal_52,58,,,,0,0,
Actinomycetospora,monophyletic,internal_37,34,,,,0,0,
Actinophytocola,monophyletic,internal_42,24,,,,0,0,
Actinoplanes,monophyletic,internal_44,131,,,,0,0,
Actinopolymorpha,monophyletic,internal_38,7,,,,0,0,
Actinopolyspora,monophyletic,internal_41,11,,,,0,0,
Actinospica,monophyletic,internal_35,6,,,,0,0,
Actinosynnema,monophyletic,internal_42,47,,,,0,0,
Actinotalea,monophyletic,internal_44,38,,,,0,0,
Actinotignum,monophyletic,internal_56,9,,,,0,0,
Actomonas,monophyletic,internal_34,17,,,,0,0,
Acutalibacter,monophyletic,internal_48,58,,,,0,0,
Acuticoccus,monophyletic,internal_38,17,,,,0,0,
Adamsella,monophyletic,internal_20,2,,,,0,0,
Adhaeretor,monophyletic,internal_37,2,,,,0,0,
Adhaeribacter,monophyletic,internal_42,8,,,,0,0,
Adhaeribacter_A,monophyletic,internal_42,4,,,,0,0,
Adiutrix,monophyletic,internal_23,11,,,,0,0,
Adlercreutzia,monophyletic,internal_33,16,,,,0,0,
Adlercreutzia_A,monophyletic,internal_34,4,,,,0,0,
Advenella,monophyletic,internal_26,22,,,,0,0,
Aedoeadaptatus,monophyletic,internal_37,11,,,,0,0,
Aegicerativicinus,monophyletic,internal_64,2,,,,0,0,
Aegiribacteria,monophyletic,internal_22,26,,,,0,0,
Aeoliella,monophyletic,internal_39,7,,,,0,0,
Aeolococcus,monophyletic,internal_21,19,,,,0,0,
Aequitasia,monophyletic,internal_44,4,,,,0,0,
Aequoribacter,monophyletic,internal_46,7,,,,0,0,
Aequorivita,monophyletic,internal_60,57,,,,0,0,
Aeriscardovia,monophyletic,internal_46,5,,,,0,0,
Aerobium,monophyletic,internal_50,18,,,,0,0,
Aerococcus,monophyletic,internal_39,25,,,,0,0,
Aerolutibacter,monophyletic,internal_46,3,,,,0,0,
Aeromicrobium,monophyletic,internal_49,117,,,,0,0,
Aeromonas,monophyletic,internal_36,46,,,,0,0,
Aerophobus,monophyletic,internal_15,2,,,,0,0,
