id,Phylum,Class,Order,Family,Genus,GC_content,Genome_size,Gene_count,blaTEM,blaCTX-M,blaSHV,aac3,tetA,sul1,dfrA1,qnrS
strain_001,Phylum_01,Class_01,Order_01,Family_03,Genus_08,54.2,4.42,6608,1,0,1,1,1,1,0,1
strain_002,Phylum_01,Class_01,Order_01,Family_11,Genus_33,35.8,3.67,3281,0,0,1,1,0,1,0,1
strain_003,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.3,6.13,6601,1,0,1,0,0,1,1,1
strain_004,Phylum_01,Class_01,Order_01,Family_06,Genus_16,41.7,6.34,4000,0,1,1,0,0,0,1,1
strain_005,Phylum_01,Class_01,Order_01,Family_03,Genus_15,57.1,3.76,4513,0,0,0,1,1,1,0,0
strain_006,Phylum_01,Class_01,Order_01,Family_01,Genus_22,55.3,4.96,4167,1,0,0,1,0,0,1,1
strain_007,Phylum_01,Class_01,Order_01,Family_03,Genus_08,61.8,3.71,3646,0,0,0,1,0,1,0,0
strain_008,Phylum_01,Class_01,Order_01,Family_11,Genus_33,37.6,5.78,4794,1,1,0,0,1,1,1,1
strain_009,Phylum_01,Class_01,Order_01,Family_07,Genus_25,47.7,5.8,6415,0,1,1,0,0,1,0,1
strain_010,Phylum_01,Class_01,Order_01,Family_03,Genus_04,35.9,3.89,5225,0,1,1,0,0,0,1,1
strain_011,Phylum_01,Class_01,Order_01,Family_03,Genus_05,41.6,4.93,5881,1,1,0,0,1,1,0,0
strain_012,Phylum_01,Class_01,Order_01,Family_03,Genus_27,50.2,5.15,4239,1,1,1,1,0,0,0,0
strain_013,Phylum_01,Class_01,Order_01,Family_03,Genus_05,35.8,4.3,5505,1,0,1,0,1,1,1,1
strain_014,Phylum_01,Class_01,Order_01,Family_03,Genus_10,41.0,6.12,6305,0,0,1,0,0,1,1,1
strain_015,Phylum_01,Class_01,Order_01,Family_04,Genus_09,54.5,4.77,5678,0,1,0,1,0,0,1,0
strain_016,Phylum_01,Class_01,Order_01,Family_03,Genus_04,51.3,4.14,5166,0,1,0,1,1,1,1,0
strain_017,Phylum_01,Class_01,Order_01,Family_06,Genus_02,41.6,5.12,3032,0,0,1,1,0,0,0,1
strain_018,Phylum_01,Class_01,Order_01,Family_03,Genus_28,52.7,5.69,5735,1,1,0,0,1,1,0,1
strain_019,Phylum_01,Class_01,Order_01,Family_11,Genus_33,59.3,4.1,6346,1,1,1,1,1,1,0,0
strain_020,Phylum_01,Class_01,Order_01,Family_03,Genus_28,35.2,4.44,5271,1,0,0,1,1,0,1,1
strain_021,Phylum_01,Class_01,Order_01,Family_08,Genus_06,59.2,6.49,4226,0,1,1,0,1,1,0,0
strain_022,Phylum_01,Class_01,Order_01,Family_03,Genus_05,55.9,5.45,6816,1,1,1,1,0,1,0,1
strain_023,Phylum_01,Class_01,Order_01,Family_01,Genus_01,45.2,4.81,5717,1,1,1,1,0,0,0,1
strain_024,Phylum_01,Class_01,Order_01,Family_10,Genus_31,39.7,5.05,3424,1,1,1,1,1,0,0,0
strain_025,Phylum_01,Class_01,Order_01,Family_03,Genus_04,63.7,3.86,6845,1,0,1,1,0,1,0,0
