id,Phylum,Class,Order,Family,Genus,GC_content,Genome_size,Gene_count
strain_001,Phylum_01,Class_01,Order_01,Family_03,Genus_08,54.2,4.42,6608
strain_002,Phylum_01,Class_01,Order_01,Family_11,Genus_33,35.8,3.67,3281
strain_003,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.3,6.13,6601
strain_004,Phylum_01,Class_01,Order_01,Family_06,Genus_16,41.7,6.34,4000
strain_005,Phylum_01,Class_01,Order_01,Family_03,Genus_15,57.1,3.76,4513
strain_006,Phylum_01,Class_01,Order_01,Family_01,Genus_22,55.3,4.96,4167
strain_007,Phylum_01,Class_01,Order_01,Family_03,Genus_08,61.8,3.71,3646
strain_008,Phylum_01,Class_01,Order_01,Family_11,Genus_33,37.6,5.78,4794
strain_009,Phylum_01,Class_01,Order_01,Family_07,Genus_25,47.7,5.8,6415
strain_010,Phylum_01,Class_01,Order_01,Family_03,Genus_04,35.9,3.89,5225
strain_011,Phylum_01,Class_01,Order_01,Family_03,Genus_05,41.6,4.93,5881
strain_012,Phylum_01,Class_01,Order_01,Family_03,Genus_27,50.2,5.15,4239
strain_013,Phylum_01,Class_01,Order_01,Family_03,Genus_05,35.8,4.3,5505
strain_014,Phylum_01,Class_01,Order_01,Family_03,Genus_10,41.0,6.12,6305
strain_015,Phylum_01,Class_01,Order_01,Family_04,Genus_09,54.5,4.77,5678
strain_016,Phylum_01,Class_01,Order_01,Family_03,Genus_04,51.3,4.14,5166
strain_017,Phylum_01,Class_01,Order_01,Family_06,Genus_02,41.6,5.12,3032
strain_018,Phylum_01,Class_01,Order_01,Family_03,Genus_28,52.7,5.69,5735
strain_019,Phylum_01,Class_01,Order_01,Family_11,Genus_33,59.3,4.1,6346
strain_020,Phylum_01,Class_01,Order_01,Family_03,Genus_28,35.2,4.44,5271
strain_021,Phylum_01,Class_01,Order_01,Family_08,Genus_06,59.2,6.49,4226
strain_022,Phylum_01,Class_01,Order_01,Family_03,Genus_05,55.9,5.45,6816
strain_023,Phylum_01,Class_01,Order_01,Family_01,Genus_01,45.2,4.81,5717
strain_024,Phylum_01,Class_01,Order_01,Family_10,Genus_31,39.7,5.05,3424
strain_025,Phylum_01,Class_01,Order_01,Family_03,Genus_04,63.7,3.86,6845
strain_026,Phylum_01,Class_01,Order_01,Family_03,Genus_10,45.1,4.17,6596
strain_027,Phylum_01,Class_01,Order_01,Family_03,Genus_27,37.8,4.51,3550
strain_028,Phylum_01,Class_01,Order_01,Family_03,Genus_08,37.9,5.26,4083
strain_029,Phylum_01,Class_01,Order_01,Family_07,Genus_21,60.4,4.19,3472
strain_030,Phylum_01,Class_01,Order_01,Family_11,Genus_33,53.1,4.16,6644
strain_031,Phylum_01,Class_01,Order_01,Family_03,Genus_28,59.2,3.71,3438
strain_032,Phylum_01,Class_01,Order_01,Family_03,Genus_03,56.9,5.39,6040
strain_033,Phylum_01,Class_01,Order_01,Family_03,Genus_13,51.1,4.19,5266
strain_034,Phylum_01,Class_01,Order_01,Family_04,Genus_19,64.2,6.22,3636
strain_035,Phylum_01,Class_01,Order_01,Family_11,Genus_33,46.4,6.08,4115
strain_036,Phylum_01,Class_01,Order_01,Family_03,Genus_08,51.6,3.71,4154
strain_037,Phylum_01,Class_01,Order_01,Family_03,Genus_08,59.9,4.21,5477
strain_038,Phylum_01,Class_01,Order_01,Family_07,Genus_25,53.6,5.51,3862
strain_039,Phylum_01,Class_01,Order_01,Family_07,Genus_25,60.9,4.14,5939
strain_040,Phylum_01,Class_01,Order_01,Family_03,Genus_10,52.3,3.9,4404
strain_041,Phylum_01,Class_01,Order_01,Family_03,Genus_28,56.1,6.31,3833
strain_042,Phylum_01,Class_01,Order_01,Family_11,Genus_30,36.4,5.21,5815
strain_043,Phylum_01,Class_01,Order_01,Family_11,Genus_26,41.8,4.92,5597
strain_044,Phylum_01,Class_01,Order_01,Family_03,Genus_12,43.7,5.85,6493
strain_045,Phylum_01,Class_01,Order_01,Family_03,Genus_10,37.4,5.92,4081
strain_046,Phylum_01,Class_01,Order_01,Family_04,Genus_09,42.0,4.07,5070
strain_047,Phylum_01,Class_01,Order_01,Family_03,Genus_29,38.0,3.79,5001
strain_048,Phylum_01,Class_01,Order_01,Family_01,Genus_01,43.3,4.79,4028
strain_049,Phylum_01,Class_01,Order_01,Family_03,Genus_10,54.1,4.77,6708
strain_050,Phylum_01,Class_01,Order_01,Family_08,Genus_20,45.9,4.9,6719
strain_051,Phylum_01,Class_01,Order_01,Family_03,Genus_13,46.1,5.69,6465
strain_052,Phylum_01,Class_01,Order_01,Family_03,Genus_12,41.3,5.52,3208
strain_053,Phylum_01,Class_01,Order_01,Family_03,Genus_05,43.0,6.45,3378
strain_054,Phylum_01,Class_01,Order_01,Family_03,Genus_27,63.1,3.8,5598
strain_055,Phylum_01,Class_01,Order_01,Family_04,Genus_19,54.4,4.71,4734
strain_056,Phylum_01,Class_01,Order_01,Family_10,Genus_31,53.3,4.52,6397
