id,Phylum,Class,Order,Family,Genus
strain_001,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_002,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_003,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_004,Phylum_01,Class_01,Order_01,Family_06,Genus_16
strain_005,Phylum_01,Class_01,Order_01,Family_03,Genus_15
strain_006,Phylum_01,Class_01,Order_01,Family_01,Genus_22
strain_007,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_008,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_009,Phylum_01,Class_01,Order_01,Family_07,Genus_25
strain_010,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_011,Phylum_01,Class_01,Order_01,Family_03,Genus_05
strain_012,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_013,Phylum_01,Class_01,Order_01,Family_03,Genus_05
strain_014,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_015,Phylum_01,Class_01,Order_01,Family_04,Genus_09
strain_016,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_017,Phylum_01,Class_01,Order_01,Family_06,Genus_02
strain_018,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_019,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_020,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_021,Phylum_01,Class_01,Order_01,Family_08,Genus_06
strain_022,Phylum_01,Class_01,Order_01,Family_03,Genus_05
strain_023,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_024,Phylum_01,Class_01,Order_01,Family_10,Genus_31
strain_025,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_026,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_027,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_028,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_029,Phylum_01,Class_01,Order_01,Family_07,Genus_21
strain_030,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_031,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_032,Phylum_01,Class_01,Order_01,Family_03,Genus_03
strain_033,Phylum_01,Class_01,Order_01,Family_03,Genus_13
strain_034,Phylum_01,Class_01,Order_01,Family_04,Genus_19
strain_035,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_036,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_037,Phylum_01,Class_01,Order_01,Family_03,Genus_08
strain_038,Phylum_01,Class_01,Order_01,Family_07,Genus_25
strain_039,Phylum_01,Class_01,Order_01,Family_07,Genus_25
strain_040,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_041,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_042,Phylum_01,Class_01,Order_01,Family_11,Genus_30
strain_043,Phylum_01,Class_01,Order_01,Family_11,Genus_26
strain_044,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_045,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_046,Phylum_01,Class_01,Order_01,Family_04,Genus_09
strain_047,Phylum_01,Class_01,Order_01,Family_03,Genus_29
strain_048,Phylum_01,Class_01,Order_01,Family_01,Genus_01
strain_049,Phylum_01,Class_01,Order_01,Family_03,Genus_10
strain_050,Phylum_01,Class_01,Order_01,Family_08,Genus_20
strain_051,Phylum_01,Class_01,Order_01,Family_03,Genus_13
strain_052,Phylum_01,Class_01,Order_01,Family_03,Genus_12
strain_053,Phylum_01,Class_01,Order_01,Family_03,Genus_05
strain_054,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_055,Phylum_01,Class_01,Order_01,Family_04,Genus_19
strain_056,Phylum_01,Class_01,Order_01,Family_10,Genus_31
strain_057,Phylum_01,Class_01,Order_01,Family_06,Genus_02
strain_058,Phylum_01,Class_01,Order_01,Family_03,Genus_04
strain_059,Phylum_01,Class_01,Order_01,Family_08,Genus_06
strain_060,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_061,Phylum_01,Class_01,Order_01,Family_10,Genus_31
strain_062,Phylum_01,Class_01,Order_01,Family_05,Genus_11
strain_063,Phylum_01,Class_01,Order_01,Family_03,Genus_27
strain_064,Phylum_01,Class_01,Order_01,Family_03,Genus_29
strain_065,Phylum_01,Class_01,Order_01,Family_11,Genus_33
strain_066,Phylum_01,Class_01,Order_01,Family_03,Genus_28
strain_067,Phylum_01,Class_01,Order_01,Family_10,Genus_31
