id,Genus,Species
strain_002,Genus_01,Species_01
strain_001,Genus_01,Species_02
strain_003,Genus_01,Species_03
strain_004,Genus_01,Species_04
strain_006,Genus_01,Species_05
strain_005,Genus_01,Species_06
strain_009,Genus_02,Species_07
strain_012,Genus_02,Species_08
strain_008,Genus_02,Species_09
strain_007,Genus_02,Species_10
strain_011,Genus_02,Species_11
strain_010,Genus_02,Species_12
strain_014,Genus_03,Species_13
strain_017,Genus_03,Species_14
strain_018,Genus_03,Species_15
strain_013,Genus_03,Species_16
strain_019,Genus_03,Species_17
strain_016,Genus_03,Species_18
strain_020,Genus_03,Species_19
strain_015,Genus_03,Species_20
strain_024,Genus_04,Species_21
strain_021,Genus_04,Species_22
strain_025,Genus_04,Species_23
strain_022,Genus_04,Species_24
strain_023,Genus_04,Species_25
strain_032,Genus_05,Species_26
strain_027,Genus_05,Species_27
strain_029,Genus_05,Species_28
strain_030,Genus_05,Species_29
strain_031,Genus_05,Species_30
strain_026,Genus_05,Species_31
strain_028,Genus_05,Species_32
