id,Phylum,Class,Order,Family,Genus,GC,Size,Genes
strain_001,Phylum_01,Class_01,Order_01,Family_01,Genus_01,54.2,5.11,6452
strain_002,Phylum_01,Class_01,Order_01,Family_01,Genus_01,35.8,6.42,6147
strain_003,Phylum_01,Class_01,Order_01,Family_01,Genus_01,43.3,4.64,6178
strain_004,Phylum_01,Class_01,Order_01,Family_01,Genus_01,41.7,5.16,3229
strain_005,Phylum_01,Class_01,Order_01,Family_01,Genus_01,57.1,5.99,3938
strain_006,Phylum_01,Class_01,Order_01,Family_01,Genus_01,55.3,5.36,6366
strain_007,Phylum_01,Class_01,Order_01,Family_01,Genus_02,61.8,6.09,3131
strain_008,Phylum_01,Class_01,Order_01,Family_01,Genus_02,37.6,5.23,6297
strain_009,Phylum_01,Class_01,Order_01,Family_01,Genus_02,47.7,5.61,4292
strain_010,Phylum_01,Class_01,Order_01,Family_01,Genus_02,35.9,3.64,4643
strain_011,Phylum_01,Class_01,Order_01,Family_01,Genus_02,41.6,4.18,4096
strain_012,Phylum_01,Class_01,Order_01,Family_01,Genus_02,50.2,4.37,3271
strain_013,Phylum_01,Class_01,Order_01,Family_01,Genus_03,35.8,3.74,3864
strain_014,Phylum_01,Class_01,Order_01,Family_01,Genus_03,41.0,4.2,6740
strain_015,Phylum_01,Class_01,Order_01,Family_01,Genus_03,54.5,3.8,6862
strain_016,Phylum_01,Class_01,Order_01,Family_01,Genus_03,51.3,4.33,5323
strain_017,Phylum_01,Class_01,Order_01,Family_01,Genus_03,41.6,5.41,6589
strain_018,Phylum_01,Class_01,Order_01,Family_01,Genus_03,52.7,4.59,5940
strain_019,Phylum_01,Class_01,Order_01,Family_01,Genus_03,59.3,4.61,4288
strain_020,Phylum_01,Class_01,Order_01,Family_01,Genus_03,35.2,4.13,3870
strain_021,Phylum_01,Class_01,Order_01,Family_01,Genus_04,59.2,4.3,5684
strain_022,Phylum_01,Class_01,Order_01,Family_01,Genus_04,55.9,6.31,5044
strain_023,Phylum_01,Class_01,Order_01,Family_01,Genus_04,45.2,5.44,4620
strain_024,Phylum_01,Class_01,Order_01,Family_01,Genus_04,39.7,5.33,6623
strain_025,Phylum_01,Class_01,Order_01,Family_01,Genus_04,63.7,4.01,6745
strain_026,Phylum_01,Class_01,Order_01,Family_01,Genus_05,45.1,5.69,5633
strain_027,Phylum_01,Class_01,Order_01,Family_01,Genus_05,37.8,3.99,4879
strain_028,Phylum_01,Class_01,Order_01,Family_01,Genus_05,37.9,4.64,3585
strain_029,Phylum_01,Class_01,Order_01,Family_01,Genus_05,60.4,6.47,4084
strain_030,Phylum_01,Class_01,Order_01,Family_01,Genus_05,53.1,5.42,3571
strain_031,Phylum_01,Class_01,Order_01,Family_01,Genus_05,59.2,5.17,4010
strain_032,Phylum_01,Class_01,Order_01,Family_01,Genus_05,56.9,5.55,6051
