id,domain,phylum,class,order,family,genus
genome_000000,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000001,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000002,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000003,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000004,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000005,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000006,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000007,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0000
genome_000008,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000009,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000010,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000011,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000012,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000013,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000014,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000015,Domain_01,Phylum_00,Class_000,Order_000,Family_0000,Genus_0001
genome_000016,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000017,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000018,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000019,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000020,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000021,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000022,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000023,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0002
genome_000024,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000025,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000026,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000027,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000028,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000029,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000030,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000031,Domain_01,Phylum_00,Class_000,Order_000,Family_0001,Genus_0003
genome_000032,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000033,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000034,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000035,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000036,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000037,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000038,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000039,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0004
genome_000040,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000041,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000042,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000043,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000044,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000045,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000046,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000047,Domain_01,Phylum_00,Class_000,Order_000,Family_0002,Genus_0005
genome_000048,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000049,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000050,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000051,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000052,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000053,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000054,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000055,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0006
genome_000056,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000057,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000058,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000059,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000060,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000061,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000062,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000063,Domain_01,Phylum_00,Class_000,Order_000,Family_0003,Genus_0007
genome_000064,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000065,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000066,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000067,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000068,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000069,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000070,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000071,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0008
genome_000072,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000073,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000074,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000075,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000076,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000077,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000078,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000079,Domain_01,Phylum_00,Class_000,Order_001,Family_0004,Genus_0009
genome_000080,Domain_01,Phylum_00,Class_000,Order_001,Family_0005,Genus_0010
