id,trait_000,trait_001,trait_002,trait_003,trait_004,trait_005,trait_006,trait_007,trait_008,trait_009,trait_010,trait_011,trait_012,trait_013,trait_014,trait_015,trait_016,trait_017,trait_018,trait_019
genome_000000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
genome_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000004,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
genome_000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
genome_000006,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
genome_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000011,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
genome_000012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
genome_000013,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
genome_000014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
genome_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
genome_000018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
genome_000019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
genome_000020,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
genome_000021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
genome_000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000023,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
genome_000024,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000025,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
genome_000026,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
genome_000027,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
genome_000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000029,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
genome_000030,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000031,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
genome_000032,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
genome_000033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000034,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genome_000036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
genome_000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
genome_000042,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
genome_000043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genome_000045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
genome_000046,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
genome_000047,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
genome_000048,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
genome_000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
genome_000050,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
genome_000051,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
genome_000052,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
genome_000053,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
genome_000054,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
genome_000055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
genome_000056,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
